text,expected_output,lumi_output,llm_output
Quotas for students are 5000 Megabyte per hr download and 2000 Megabyte per hr upload,"['qos_metric', 'target', 'qos_value', 'qos_unit', 'qos_constraint', 'qos_value', 'qos_unit', 'qos_constraint']","['qos_metric', 'qos_value', 'qos_unit', 'location', 'qos_constraint', 'qos_value', 'qos_unit', 'location', 'qos_metric', 'target']","['group', 'qos_constraint', 'qos_value', 'qos_unit']"
Routers or anything else that does routing or NAT are prohibited from MITNet as they interfere with the operation of the network,"['protocol', 'operation', 'target']","['hour', 'hour', 'middlebox', 'operation', 'entity']","['middlebox', 'target', 'operation']"
"When a total of 18 gigabytes of data is reached, the individual's bandwidth rate limit is set to 2 Mbps","['qos_value', 'qos_unit', 'qos_metric', 'target', 'qos_metric', 'operation', 'qos_value', 'qos_unit']","['qos_value', 'qos_unit', 'qos_unit', 'qos_metric', 'qos_constraint', 'operation', 'qos_value', 'qos_unit']","['qos_value', 'qos_unit', 'qos_metric', 'qos_constraint', 'qos_value_2', 'qos_unit_2', 'target']"
The individual will have a 4 Mbps bandwidth rate limit,"['target', 'operation', 'qos_value', 'qos_unit', 'qos_metric']","['qos_value', 'qos_unit', 'qos_metric']","['qos_constraint', 'qos_metric', 'qos_value', 'qos_unit']"
"RHIT-OPEN will work in labs, classrooms and residence halls but does not allow the user to access the internal Rose-Hulman network","['origin', 'operation', 'target', 'traffic', 'destination']","['operation', 'location', 'middlebox', 'operation', 'target', 'target', 'target']","['group', 'location']"
"You may not run FTP, telnet, peer-to-peer, HTTP, IRC, DNS and mail servers on ResNet or UIC wireless-connected devices","['operation', 'protocol', 'protocol', 'traffic', 'protocol', 'service', 'protocol', 'service', 'target', 'target']","['qos_metric', 'protocol', 'location', 'protocol', 'qos_unit', 'location', 'value', 'hour']","['operation', 'protocol', 'service', 'location']"
Students have 200 GB of Free monthly usage,"['target', 'qos_value', 'qos_unit']","['qos_value', 'qos_unit', 'qos_unit', 'target']","['group', 'qos_metric', 'qos_value', 'qos_unit']"
Faculty members have 500 Gb per week of free network use,"['target', 'qos_value', 'qos_unit']","['qos_value', 'qos_unit', 'location', 'target']","['group', 'qos_metric', 'qos_value', 'qos_unit']"
Students have a quota of 5 GB per day The quota is reset at  6am,"['target', 'qos_constraint', 'qos_value', 'qos_unit', 'qos_constraint', 'start']","['qos_metric', 'qos_value', 'qos_unit', 'qos_metric', 'operation', 'target']","['group', 'qos_metric', 'qos_value', 'qos_unit', 'hour']"
Internet is limited to 3 Mbps per host,"['qos_metric', 'qos_value', 'qos_unit', 'target']","['location', 'operation', 'qos_constraint', 'qos_value', 'qos_unit', 'location']","['qos_constraint', 'qos_value', 'qos_unit', 'target']"
P2P application is separately capped at 30 Mbps for the entire campus,"['traffic', 'qos_constraint', 'qos_value', 'qos_unit', 'target']","['location', 'qos_value', 'qos_unit', 'location']","['traffic', 'qos_constraint', 'qos_value', 'qos_unit', 'group']"
Guests' network is rate-limited to 5 Mb/s per user,"['target', 'qos_metric', 'qos_value', 'qos_unit']","['location', 'operation', 'qos_value', 'qos_unit', 'target', 'target']","['group', 'qos_constraint', 'qos_value', 'qos_unit']"
The ResNet cap is currently 200 gigabytes per each 7 day period of combined incoming and outgoing traffic,"['target', 'qos_value', 'qos_unit', 'qos_constraint', 'qos_constraint']","['value', 'operation', 'qos_value', 'qos_unit', 'qos_value']","['qos_constraint', 'qos_value', 'qos_unit', 'traffic']"
These network security changes include blocking traffic from the Internet into the UW network over FTP,"['operation', 'origin', 'destination', 'protocol']","['location', 'middlebox', 'operation', 'operation', 'location', 'protocol', 'origin', 'target', 'target']","['operation', 'traffic', 'origin', 'destination']"
"Elements of network security currently include the following four solutions: Network Border Infrastructure System, Intrusion Prevention System, Firewalls and Custom Unit Firewalls","['target', 'operation', 'middlebox', 'middlebox', 'middlebox', 'middlebox']","['middlebox', 'operation', 'middlebox', 'operation', 'middlebox', 'middlebox', 'target', 'target']",['middlebox']
ACT/IT Infrastructure monitors traffic on the network for the purpose of maintaining proper network function,"['middlebox', 'target']","['middlebox', 'qos_unit', 'target']","['traffic', 'operation']"
"CIS restricts traffic that is known to cause damage to the network or hosts on it, such as NETBIOS","['operation', 'target', 'service']","['operation', 'operation', 'location', 'location', 'destination', 'start', 'target', 'target']","['operation', 'traffic']"
All network traffic passing in or out of Brown's network is monitored by intrusion detection system for signs of compromises,"['target', 'middlebox']","['operation', 'hour', 'location', 'operation', 'middlebox', 'middlebox', 'origin']","['traffic', 'middlebox', 'operation', 'target']"
"You may not run any services (e.g., FTP services,listservers,P2P file sharing servers, publishing files via generic file services, etc.) via ResNet or NYURoam wireless networks","['operation', 'protocol', 'service', 'traffic', 'target', 'target']","['qos_metric', 'protocol', 'service', 'location', 'service', 'service', 'value', 'hour', 'location']","['operation', 'service', 'origin']"
Housing does not normally limit the amount of bandwidth,"['target', 'operation', 'qos_metric']","['value', 'qos_constraint', 'qos_metric']","['location', 'qos_constraint', 'qos_metric']"
"The UVA More Secure Network uses a firewall, a network security device designed to help protect your computer from hackers and other malicious people on the Internet.","['target', 'operation', 'middlebox']","['middlebox', 'middlebox', 'location', 'middlebox', 'location', 'target', 'target']",['middlebox']
"The network firewall does prevent some applications from working in their normal manner, for example, video and audio conferencing products that use the H.323","['target', 'operation', 'traffic']","['location', 'middlebox', 'operation', 'middlebox', 'location', 'qos_value', 'target']","['middlebox', 'service', 'traffic']"
The UC Davis network is continually scanned for prohibited activities and network threats.,"['target', 'middlebox']","['location', 'operation', 'middlebox', 'operation']","['operation', 'middlebox', 'target']"
